date,portfolio,ret
2011-07-28,low,-0.006895987979995543
2011-07-28,high,-0.009710675982706864
2011-07-29,low,-0.005651458589833292
2011-07-29,high,-0.005877143550429367
2011-08-01,low,0.003918139100190632
2011-08-01,high,-0.004523913660182791
2011-08-02,low,0.005621267770677527
2011-08-02,high,0.0060705120110302185
2011-08-03,low,-0.011949912273677619
2011-08-03,high,-0.010772622140636292
2011-08-04,low,-0.020607905840884493
2011-08-04,high,-0.03511937717424408
2011-08-05,low,-0.006610882435447006
2011-08-05,high,0.002628913553697504
2011-08-08,low,-0.020971934806301367
2011-08-08,high,-0.016510053688113282
2011-08-09,low,0.0003240229404655326
2011-08-09,high,-0.0019610657510492667
2011-08-10,low,0.0020080951292809775
2011-08-10,high,0.016307997200493956
2011-08-11,low,0.018859370353347615
2011-08-11,high,0.011603560343641345
2011-08-12,low,0.004271045807488919
2011-08-12,high,0.003998185938039272
2011-08-15,low,0.008315227881754457
2011-08-15,high,-0.002300740643318309
2011-08-16,low,0.00356410709698645
2011-08-16,high,0.005334871920582755
2011-08-17,low,0.011082903301205095
2011-08-17,high,0.01065697511891315
2011-08-18,low,-0.01539401267906488
2011-08-18,high,-0.011515492435687674
2011-08-19,low,0.008318364364946207
2011-08-19,high,0.016995245853902927
2011-08-22,low,0.006848376591181269
2011-08-22,high,0.0073531746527344885
2011-08-23,low,0.007054388161639428
2011-08-23,high,0.003854695566240303
2011-08-24,low,-0.010947582313012611
2011-08-24,high,-0.012045733266834042
2011-08-25,low,0.0025956186732302915
2011-08-25,high,0.006363592669447092
2011-08-26,low,0.00962090839738968
2011-08-26,high,0.010359268835632629
2011-08-29,low,0.0032272657521222273
2011-08-29,high,0.0006598828623567013
2011-08-30,low,0.0009076415841965536
2011-08-30,high,0.01442949334727444
2011-08-31,low,0.005451387342747099
2011-08-31,high,0.003007757480987135
2011-09-01,low,-0.007319783503600992
2011-09-01,high,-0.012940281624418624
2011-09-02,low,0.0006182456956226169
2011-09-02,high,0.003940374504696761
2011-09-06,low,-0.009387491381829668
2011-09-06,high,-0.01146072124049904
2011-09-07,low,0.004810632849508969
2011-09-07,high,0.007882533834241447
2011-09-08,low,0.004227893072378206
2011-09-08,high,-0.0038505024067209833
2011-09-09,low,-0.008410282154107414
2011-09-09,high,-0.01594085042154911
2011-09-12,low,-0.005704071785981997
2011-09-12,high,-0.009923974219568301
2011-09-13,low,0.0017218899590267997
2011-09-13,high,0.001725647817384411
2011-09-14,low,-0.0006667401347609487
2011-09-14,high,-0.0002256473394802761
2011-09-15,low,-0.009811364354651693
2011-09-15,high,-0.0050991443249688755
2011-09-16,low,-0.007173113524532446
2011-09-16,high,-0.0019218932895593063
2011-09-19,low,-0.014725063432904906
2011-09-19,high,-0.016478034996598334
2011-09-20,low,0.0034643784842235386
2011-09-20,high,0.0061899210420043775
2011-09-21,low,-0.00982984805362704
2011-09-21,high,-0.004383241820350378
2011-09-22,low,-0.04147149531101464
2011-09-22,high,-0.037708615489781744
2011-09-23,low,-0.019093415133457758
2011-09-23,high,-0.026714104304756722
2011-09-26,low,-0.005087818990458287
2011-09-26,high,0.004877752729487576
2011-09-27,low,0.019518342334477252
2011-09-27,high,0.021721981277187278
2011-09-28,low,-0.02377608160110651
2011-09-28,high,-0.019546821867867974
2011-09-29,low,0.009559436859501695
2011-09-29,high,0.002085034454079014
2011-09-30,low,-0.028479224959371028
2011-09-30,high,-0.0036439104489166788
2011-10-03,low,-0.006830640718248077
2011-10-03,high,-0.007218218704282929
2011-10-04,low,-0.01058989002684524
2011-10-04,high,-0.012818654059809443
2011-10-05,low,0.011867247920459631
2011-10-05,high,0.014922642290947299
2011-10-06,low,0.010581876226817898
2011-10-06,high,0.019160620003818546
2011-10-07,low,-0.005243741790269758
2011-10-07,high,-0.008999909394239012
2011-10-10,low,0.020995431409510244
2011-10-10,high,0.010142031945826002
2011-10-11,low,0.015985111239766044
2011-10-11,high,0.012933966950679382
2011-10-12,low,-0.0008505022552110972
2011-10-12,high,0.0061766876515199605
2011-10-13,low,-0.0007236000032092122
2011-10-13,high,0.004726763681530033
2011-10-14,low,0.020661685824018252
2011-10-14,high,0.015962774283389058
2011-10-17,low,-0.00761515224289008
2011-10-17,high,-0.012009543539107171
2011-10-18,low,-0.0031158587462193346
2011-10-18,high,-0.000589434794273384
2011-10-19,low,-0.013376497206876042
2011-10-19,high,-0.008706983753475192
2011-10-20,low,-0.011176812850424557
2011-10-20,high,-0.0025380026993321106
2011-10-21,low,0.008948797399384971
2011-10-21,high,0.00974333006936111
2011-10-24,low,0.02159090805539386
2011-10-24,high,0.010206926725343205
2011-10-25,low,0.00417930034516226
2011-10-25,high,0.0015691123141550374
2011-10-26,low,-0.007656669730858526
2011-10-26,high,-0.0026893346550852016
2011-10-27,low,0.026406381153110767
2011-10-27,high,0.015285753189710585
2011-10-28,low,0.00205628348293117
2011-10-28,high,-0.0036848573843249045
2011-10-31,low,-0.013736561661910889
2011-10-31,high,-0.010681957819602529
2011-11-01,low,-0.018292932807212788
2011-11-01,high,-0.00013366719316844342
2011-11-02,low,0.004269200146679969
2011-11-02,high,0.0022579760301315375
2011-11-03,low,0.012996624979903846
2011-11-03,high,0.01047990545575493
2011-11-04,low,-0.002358757623732991
2011-11-04,high,-0.00030202298428211414
2011-11-07,low,-0.005164855572036544
2011-11-07,high,0.007963047545219674
2011-11-08,low,0.006718123194657899
2011-11-08,high,0.0008317203867347567
2011-11-09,low,-0.0184649398494871
2011-11-09,high,-0.009314542668499268
2011-11-10,low,-0.009844239283616227
2011-11-10,high,-0.0069679089377592774
2011-11-11,low,0.004037018307359642
2011-11-11,high,0.0023020580371026296
2011-11-14,low,-0.004116186463217902
2011-11-14,high,-0.008041586184188633
2011-11-15,low,0.006119631865001333
2011-11-15,high,0.009068572136885703
2011-11-16,low,-0.007797752338162739
2011-11-16,high,-0.0014119802040371005
2011-11-17,low,-0.020158735356940235
2011-11-17,high,-0.02528822259479817
2011-11-18,low,-0.0024787534870680866
2011-11-18,high,-0.00042769539248346914
2011-11-21,low,-0.01796850639434092
2011-11-21,high,-0.010195525339986586
2011-11-22,low,0.005678656740205563
2011-11-22,high,0.01335128762018655
2011-11-23,low,-0.01574543205247638
2011-11-23,high,-0.013894093556734289
2011-11-25,low,-0.007564332700150039
2011-11-25,high,-0.009020547338927787
2011-11-28,low,0.0068467914370751535
2011-11-28,high,0.010659334241066574
2011-11-29,low,0.016886444889191242
2011-11-29,high,0.0036516702594962176
2011-11-30,low,0.0143064305359703
2011-11-30,high,0.010263001006405438
2011-12-01,low,-0.004794305897968752
2011-12-01,high,-0.0023828463642987623
2011-12-02,low,-6.378588532125804e-05
2011-12-02,high,0.000760262850967539
2011-12-05,low,-0.008753433993670458
2011-12-05,high,-0.0035479605163037096
2011-12-06,low,0.0034354928192508512
2011-12-06,high,-0.006578468533284376
2011-12-07,low,-0.009192053389980526
2011-12-07,high,-0.009038176649631333
2011-12-08,low,0.0003773672469880546
2011-12-08,high,-0.01106879780716797
2011-12-09,low,-0.00890497309726673
2011-12-09,high,0.00091067749751979
2011-12-12,low,-0.0070847361389179235
2011-12-12,high,-0.012151941597357765
2011-12-13,low,0.009369768895565088
2011-12-13,high,0.0077821592678851146
2011-12-14,low,-0.026754849098304032
2011-12-14,high,-0.027162286562796262
2011-12-15,low,0.002485092221691781
2011-12-15,high,-0.001867570045305465
2011-12-16,low,0.006231323143175978
2011-12-16,high,-0.0018125494040747044
2011-12-19,low,0.002765202842448871
2011-12-19,high,0.006144224158848334
2011-12-20,low,0.015406809242747666
2011-12-20,high,0.014633072806551246
2011-12-21,low,0.005740273885310241
2011-12-21,high,0.004077200704234032
2011-12-22,low,0.005774773630072664
2011-12-22,high,0.006534741164812102
2011-12-23,low,0.002344732327486818
2011-12-23,high,0.006384195699054033
2011-12-27,low,0.011710927833509356
